,sentence,class
5238,"Длинные черные волосы струились по спине, глаза с тяжелыми веками презрительно уставились в лицо Гарри, но стоило ей заговорить, и Гарри сразу услышал Гермиону в низком голосе Беллатрисы Лестрейндж.",original
912,"- Затем, тупица, что на Чемпионат в страну съедутся волшебники со всего мира, и каждая шавка из Министерства магии будет совать нос куда надо и не надо, вынюхивать, где что не так, проверять и перепроверять - совсем рехнулись на своих мерах безопасности, - не дай бог маглы чего заметят.",original
204,"К несчастью, выяснилось, что именно за этой дверью начинается тот самый закрытый для всех коридор на третьем этаже, про который говорил на банкете Альбус Дамблдор.",original
2253,"- Спровоцировал? - выкрикнула она и так хватила кулаком по столу, что клетчатая жестянка соскочила с него и высыпала имбирных тритонов на пол. - Он только что потерпел поражение!",original
2006,"За столиком по соседству с Гарри и Роном пару составили Дин и Невилл, и Невилл немедленно пустился в пространное описание кошмара, где фигурировала выходная шляпа его бабушки, нахлобученная на гигантские ножницы.",original
1828,"Крохотный свободный участок стены красноречиво говорил о пристрастиях мистера Уизли: несколько плакатов с автомобилями, картинка, показывающая снятый с машины двигатель, два изображения почтовых ящиков, вырезанные, по всей видимости, из магловских детских книжек, и схема подсоединения проводов к штепселю.",original
1143,"И она сказала, что Темный Лорд воспрянет вновь… м-м-м… величественней и ужасней, чем когда-либо доселе… и в этом ему поможет слуга - в ту ночь Хвост и сбежал.",original
839,"Пошли к замку вверх по склону лужайки; солнце быстро опускалось, все небо окрасилось в бледно-пурпурный цвет, но на западе еще пылал рубиново-красный отсвет.",original
4467,"Те, кто прочитает мою книгу, возможно, придут к заключению, что Грин-де-Вальд простонапросто вытащил из кончика своей волшебной палочки белый носовой платок и мирно удалился!",original
712,"Ты нацелишь на него волшебную палочку, представишь себе бабушкину одежду и громко скажешь: «Ридикулус!»Страшный профессор вырядится в шляпу с чучелом грифа, зеленое платье и в руке у него будет красная дамская сумочка.",original
4837,"Вечер принес с собой неожиданно холодный дождь, первый за несколько недель, и внезапно наступило одно из необъяснимых мгновений, в которые эти люди, казалось, замечали нечто интересное.",original
3456,"Он шел так быстро, что успел миновать стол Пуффендуя, прежде чем на него начали оглядываться, а когда несколько человек вскочили на ноги, чтобы лучше видеть, он уже высмотрел Рона и Гермиону, рванулся вперед и втиснулся на скамью между ними.",original
260,"Кажется, Малфой уже не сомневался, что больше не встретится с ними, потому что вместо завтрака отчисленные из школы Гарри и Рон сядут в поезд до Лондона.",original
244,"Конечно, Крэбба и Гойла никак нельзя было назвать маленькими, но за Главным столом было полно учителей, и все, что могли сделать Крэбб и Гойл, это состроить недовольные физиономии.",original
767,"Для Гарри это значило, что на домашние задания у него остается всего один вечер, ведь по четвергам Люпин учил его вызывать Патронуса, и это было куда труднее тренировок.",original
1791,"Снегг мог сколько угодно называть это занятие очисткой, но, по мнению Гарри, это была самая настоящая война с домом, который при поддержке Кикимера очень упорно сопротивлялся.",original
1905,"Он понизил голос до хриплого хрюканья Гойла, наморщил лицо, изображая болезненную сосредоточенность, и принялся выводить в воздухе рукой: - Я… не… должен… выглядеть… как… задница… бабуина.",original
4139,"Затем со всей скоростью, на какую был способен, помчался по проходам между гор сокровенного сора - назад, к двери и в коридор, выскочив в который, захлопнул за собой дверь, и та мгновенно вновь обратилась в ровный камень.",original
4931,"Потом он увидел дверь дома номер двенадцать на площади Гриммо, молоток в форме змеи, но не успел еще набрать воздуха в грудь, как послышался крик, полыхнуло лиловое пламя, ладонь Гермионы вдруг сжалась, точно тиски, и все потонуло во мраке.",original
217,"- Глупое махание волшебной палочкой к этой науке не имеет никакого отношения, и потому многие из вас с трудом поверят, что мой предмет является важной составляющей магической науки, - продолжил Снегг.",original
4597,"- А разбирательства по поводу незаконного использования мной магии при попытке спастись от Пожирателей смерти Министерство все еще не назначило? - через стол спросил Гарри у мистера Уизли, и тот отрицательно покачал головой.",original
1628,"После возвращения из больничной палаты Гарри не ходил в Большой зал, когда там было особенно много народу, и старался есть попозже, чтобы избежать любопытных взглядов.",original
5323,"Серебряная сеть опустилась на связанные тела, оплела их и подняла в воздух, где они зависли под синезолотым потолком, точно два уродливых морских чудища.",original
4464,"Однако если оставить в стороне скелеты, таящиеся в семейных шкафах, может ли Скитер отрицать блестящие способности Дамблдора, которые позволили ему сделать немало магических открытий?",original
3436,"К тому времени, когда они доберутся до Хогвартса, займут места в Большом зале, несколько раз осмотрят гриффиндорский стол и наконец поймут, что Гарри здесь нет, он, несомненно, будет уже на полдороге к Лондону.",original
1805,"- Нет, я, как правило, трансгрессирую, - ответил мистер Уизли, - но ты, разумеется, этого не можешь, и лучше всего будет, если мы явимся без всякой магии…",original
3679,"Попытался сообразить, есть ли хоть малейшая возможность, что она не заметила Рона, просто ушла, потому что в гостиной слишком шумно отмечали победу, и тут она сказала неестественным тонким голосом:",original
4827,"Ариане, когда она исчезла из общего поля зрения, едва исполнилось семь лет, а, по мнению специалистов, семь лет - это возраст, в котором проявляются магические способности, если, конечно, они у ребенка имеются.",original
2278,"Он повернулся, тряхнул косматой головой, чтобы отбросить волосы с лица, и издал странный пронзительный вопль, огласивший дебри, словно крик какой-то чудовищной птицы.",original
53,"На входе Дурсли купили Дадли и Пирсу по большому шоколадному мороженому, а Гарри достался фруктовый лед с лимонным вкусом - и то только потому, что они не успели увести его от прилавка, прежде чем улыбающаяся мороженщица, обслужив Дадли и Пирса, спросила, чего хочет третий мальчик.",original
1307,"- Дамблдор хочет, чтобы вы на собственном опыте познали опасность этого заклятия, - непререкаемым тоном произнес Грюм, его волшебный глаз впился в Гермиону и парализовал жутким немигающим взглядом.",original
3462,"- …а школьный смотритель, мистер Филч, просил меня объявить о категорическом запрете на любые шуточные товары, приобретенные в магазине под названием «Всевозможные волшебные вредилки».",original
2787,"Окрестности замка сияли на солнце, как чисто вымытые; безоблачное небо улыбалось своему собственному отражению в искрящейся глади озера; по шелковым зеленым лужайкам изредка пробегала рябь от легкого ветерка.",original
2276,"Гарри беспокоился не только из-за сюрприза, приготовленного Хагридом, - он не знал, как поведут себя остальные ученики, в особенности Малфой с приспешниками, если урок будет проходить под наблюдением Амбридж.",original
1273,"От этого его изуродованное лицо исказилось еще больше, но тем не менее было приятно убедиться, что Грюм способен на что-то дружественное, например на улыбку.",original
1763,"Так, по крайней мере, мы пишем в рекламе, - вполголоса продолжил Фред, который, потихоньку выбравшись из поля зрения миссис Уизли, поднимал с пола и клал в карман валявшихся там и сям докси.",original
2757,"По сравнению с телом она была гораздо крупнее, чем у людей, и почти абсолютно круглая; всю ее сплошь покрывали густые курчавые волосы цвета папоротника.",original
837,"Выглядела она ужасно - еще больше исхудала, шерсть лезла клочьями, оставляя обширные плеши; в руках Рона она яростно извивалась, стараясь вырваться на свободу.",original
759,"И директор на самом деле начертал в воздухе волшебной палочкой стул, он медленно завертелся, повисел немного и приземлился между Снеггом и МакГонагалл.",original
3112,"Честно признаться… я считал, что груз ответственности, который тебе приходится нести, и так чересчур велик Гарри поднял на него взгляд и увидел, как слеза, скользнувшая вниз по щеке Дамблдора, затерялась в его длинной серебряной бороде.",original
792,"По дороге вынул из кармана пергамент и, присев за одноглазой ведьмой, разгладил его на коленях По направлению к нему двигалась какая-то точка, рядом с ней написано крошечными буквами «Невилл Долгопупс».",original
